"Round","Player_A","Player_B"
1,1,1
2,1,2
3,2,2
4,3,3
5,1,1
6,1,2
7,3,3
8,3,1
9,3,1
10,2,3
11,1,2
12,3,2
13,3,2
14,1,2
15,2,3
16,3,1
17,2,2
18,2,2
19,3,2
20,2,3
21,2,2
22,1,1
23,3,1
24,1,1
25,1,3
26,1,1
27,1,2
28,2,1
29,1,2
30,3,1
31,1,3
32,2,3
33,1,2
34,2,1
35,1,1
36,1,2
37,1,3
38,1,1
39,1,1
40,1,2
41,2,2
42,1,3
43,1,1
44,3,1
45,2,3
46,3,3
47,1,1
48,2,1
49,3,2
50,2,2
51,2,3
52,2,3
53,2,2
54,1,2
55,1,3
56,2,2
57,2,3
58,3,2
59,3,2
60,2,1
61,1,3
62,2,2
63,1,3
64,2,3
65,3,2
66,1,3
67,2,3
68,1,1
69,1,3
70,3,1
71,1,1
72,2,3
73,2,3
74,1,1
75,1,3
76,3,2
77,2,3
78,1,1
79,3,2
80,3,3
81,1,1
82,2,1
83,2,3
84,2,2
85,2,3
86,2,2
87,3,1
88,1,2
89,2,1
90,2,2
91,2,2
92,3,1
93,1,3
94,1,2
95,2,2
96,3,2
97,3,3
98,3,3
99,3,3
100,2,2
101,2,3
102,2,3
103,3,2
104,1,2
105,2,3
106,3,1
107,2,1
108,1,2
109,1,3
110,1,3
111,1,2
112,1,3
113,1,3
114,1,1
115,1,2
116,1,3
117,1,3
118,2,3
119,2,2
120,2,3
121,3,1
122,3,1
123,2,3
124,2,2
125,2,1
126,3,2
127,1,2
128,3,1
129,3,2
130,2,2
131,2,2
132,2,2
133,2,2
134,3,1
135,2,3
136,2,2
137,1,2
138,3,3
139,2,2
140,3,2
141,3,2
142,3,3
143,3,2
144,2,1
145,1,3
146,1,2
147,1,1
148,2,2
149,1,1
150,1,3
151,1,3
152,3,2
153,3,1
154,2,1
155,3,1
156,3,2
157,2,2
158,2,1
159,2,2
160,3,1
161,3,2
162,1,3
163,1,2
164,1,1
165,1,3
166,1,2
167,3,1
168,3,3
169,3,1
170,3,2
171,2,3
172,2,1
173,2,2
174,1,2
175,1,3
176,3,1
177,3,2
178,3,1
179,3,2
180,1,2
181,1,1
182,1,1
183,2,2
184,2,3
185,1,3
186,1,1
187,1,2
188,2,3
189,2,1
190,2,3
191,3,1
192,3,3
193,3,3
194,3,3
195,3,3
196,1,3
197,1,1
198,1,2
199,3,3
200,3,3
201,1,2
202,1,1
203,3,1
204,3,1
205,3,2
206,2,3
207,3,1
208,3,2
209,2,1
210,3,2
211,3,2
212,2,2
213,1,2
214,3,2
215,3,2
216,3,3
217,3,3
218,3,1
219,3,3
220,3,3
221,3,2
222,3,2
223,3,3
224,3,3
225,3,1
226,3,3
227,3,2
228,3,1
229,1,1
230,1,3
231,1,1
232,1,3
233,3,3
234,3,3
235,2,3
236,2,1
237,2,2
238,2,3
239,1,2
240,1,1
241,2,3
242,2,2
243,2,1
244,2,3
245,2,2
246,2,1
247,1,1
248,2,1
249,2,2
250,3,3
