"Round","Player_A","Player_B"
1,1,1
2,1,2
3,2,2
4,3,3
5,1,1
6,1,2
7,3,3
8,3,1
9,3,1
10,3,2
11,2,2
12,3,2
13,3,2
14,1,2
15,2,3
16,3,1
17,2,2
18,2,2
19,3,2
20,2,3
21,2,2
22,2,1
23,3,1
24,1,1
25,1,3
26,1,1
27,1,2
28,2,1
29,1,2
30,1,1
31,1,2
32,3,1
33,2,3
34,2,1
35,1,1
36,1,2
37,1,3
38,1,1
39,1,1
40,1,2
41,2,2
42,1,3
43,3,3
44,1,2
45,3,2
46,3,3
47,1,1
48,2,1
49,3,2
50,2,2
51,2,3
52,2,3
53,2,2
54,1,2
55,1,3
56,2,2
57,2,3
58,3,2
59,3,2
60,2,1
61,1,3
62,2,2
63,1,3
64,2,3
65,3,2
66,1,3
67,2,3
68,1,1
69,1,3
70,3,1
71,1,1
72,2,3
73,2,3
74,1,1
75,1,3
76,3,2
77,2,3
78,1,1
79,3,2
80,3,3
81,3,1
82,2,1
83,2,3
84,2,2
85,2,3
86,2,2
87,3,1
88,1,2
89,2,1
90,2,2
91,2,2
92,3,1
93,1,3
94,1,2
95,2,2
96,3,2
97,3,3
98,3,3
99,3,1
100,1,2
101,1,2
102,1,1
103,3,1
104,3,2
105,3,2
106,1,3
107,1,1
108,1,3
109,3,2
110,3,1
111,3,1
112,3,2
113,3,2
114,1,1
115,1,2
116,1,3
117,1,3
118,2,3
119,2,2
120,2,3
121,3,1
122,3,1
123,2,3
124,2,2
125,2,1
126,3,2
127,1,2
128,3,1
129,3,2
130,2,2
131,2,2
132,2,2
133,2,2
134,3,1
135,2,3
136,2,2
137,1,2
138,3,3
139,2,2
140,3,2
141,3,2
142,3,3
143,3,2
144,2,1
145,1,3
146,1,2
147,1,1
148,2,2
149,1,1
150,1,3
151,1,3
152,3,2
153,3,1
154,2,1
155,3,1
156,3,2
157,2,2
158,2,1
159,2,2
160,3,1
161,3,2
162,1,3
163,1,2
164,1,1
165,1,3
166,1,2
167,3,1
168,3,3
169,3,1
170,3,2
171,2,3
172,2,1
173,2,2
174,1,2
175,1,3
176,3,1
177,3,2
178,3,1
179,3,2
180,1,2
181,1,1
182,1,1
183,2,2
184,2,3
185,1,3
186,1,1
187,1,2
188,2,3
189,2,1
190,2,3
191,3,1
192,3,3
193,3,3
194,3,3
195,3,3
196,3,1
197,1,1
198,1,2
199,3,3
200,3,3
201,1,2
202,2,1
203,3,1
204,3,1
205,3,2
206,2,3
207,3,1
208,3,2
209,2,1
210,3,2
211,3,2
212,2,2
213,1,2
214,3,2
215,2,2
216,2,3
217,3,3
218,3,1
219,3,3
220,3,3
221,2,2
222,2,2
223,3,1
224,3,3
225,3,3
226,3,1
227,3,3
228,1,2
229,3,1
230,1,1
231,1,3
232,1,1
233,1,3
234,3,3
235,3,3
236,2,3
237,1,2
238,1,2
239,1,3
240,1,2
241,1,1
242,2,3
243,2,2
244,2,1
245,2,3
246,1,2
247,1,1
248,1,1
249,2,2
250,3,2
