"Round","Player_A","Player_B"
1,1,1
2,2,1
3,3,3
4,1,2
5,3,1
6,3,1
7,1,2
8,3,1
9,1,2
10,3,3
11,1,2
12,1,1
13,2,3
14,2,1
15,2,1
16,1,1
17,2,1
18,2,1
19,2,2
20,1,3
21,2,3
22,2,1
23,2,1
24,1,3
25,1,3
26,2,3
27,2,1
28,2,1
29,3,2
30,2,3
31,3,1
32,1,3
33,1,2
34,2,1
35,3,2
36,2,2
37,2,3
38,2,1
39,2,3
40,3,2
41,3,2
42,2,3
43,1,3
44,2,2
45,2,2
46,3,2
47,2,1
48,1,1
49,2,3
50,3,3
51,3,2
52,2,3
53,1,1
54,3,1
55,3,2
56,3,1
57,3,3
58,3,3
59,2,3
60,3,1
61,2,3
62,3,3
63,3,3
64,1,1
65,2,1
66,1,3
67,3,1
68,1,3
69,1,2
70,1,3
71,2,2
72,2,1
73,3,1
74,2,1
75,2,2
76,3,2
77,1,3
78,3,1
79,2,2
80,2,1
81,1,3
82,3,2
83,2,2
84,2,2
85,2,2
86,3,3
87,2,3
88,2,2
89,1,3
90,1,1
91,1,1
92,2,2
93,3,1
94,1,1
95,2,2
96,2,1
97,2,2
98,2,2
99,2,2
100,3,1
101,1,3
102,1,3
103,2,3
104,1,3
105,2,2
106,2,3
107,2,2
108,2,1
109,2,3
110,2,1
111,2,2
112,2,1
113,2,1
114,2,2
115,2,2
116,2,2
117,2,2
118,1,1
119,2,1
120,2,3
121,2,3
122,2,2
123,2,3
124,2,2
125,2,1
126,2,2
127,2,3
128,2,1
129,2,3
130,2,3
131,3,2
132,2,1
133,2,2
134,1,2
135,1,1
136,2,1
137,2,2
138,1,3
139,2,3
140,2,3
141,2,2
142,2,1
143,2,2
144,2,2
145,2,2
146,1,1
147,2,3
148,2,2
149,3,3
150,2,2
151,2,3
152,2,2
153,1,1
154,2,2
155,2,2
156,2,1
157,2,2
158,2,1
159,2,3
160,1,1
161,2,3
162,2,2
163,2,1
164,2,1
165,3,1
166,1,2
167,2,3
168,3,3
169,2,2
170,3,2
171,2,2
172,3,3
173,2,2
174,1,3
175,3,1
176,2,3
177,2,2
178,3,3
179,3,1
180,2,3
181,2,3
182,2,1
183,2,3
184,2,1
185,2,2
186,2,2
187,3,2
188,3,1
189,2,2
190,2,1
191,2,3
192,2,2
193,2,1
194,2,1
195,2,2
196,1,3
197,2,2
198,3,3
199,1,1
200,2,2
201,2,3
202,2,3
203,1,2
204,1,2
205,2,3
206,2,3
207,2,1
208,2,2
209,2,1
210,2,2
211,2,3
212,1,1
213,2,2
214,2,3
215,2,3
216,2,3
217,2,2
218,1,2
219,2,2
220,2,3
221,2,1
222,2,1
223,2,3
224,2,1
225,2,2
226,2,3
227,2,3
228,2,2
229,2,1
230,1,1
231,2,2
232,3,2
233,2,3
234,2,2
235,2,1
236,2,2
237,1,1
238,2,3
239,2,1
240,2,1
241,2,3
242,3,2
243,1,3
244,1,2
245,2,2
246,1,3
247,3,3
248,2,2
249,3,2
250,2,2
